Ligand name,Exp Ki (uM),Exp Ki error (uM),Exp. dG (kcal/mol),Exp. dG error (kcal/mol),Pred. dG (kcal/mol),Pred. dG std. error (kcal/mol)
23,0.37,0.03,-8.829999924,0.04832432432,-7.53000021,0.0700000003
26,1,0.44,-8.239999771,0.26224,-8.25,0.0700000003
27,35,7.1,-6.119999886,0.1209028571,-6.449999809,0.05999999866
28,15,0.7,-6.619999886,0.02781333333,-6.059999943,0.05999999866
29,8.8,1.7,-6.940000057,0.1151363636,-6.480000019,0.05999999866
30 flip,1.9,0.6,-7.849999905,0.1882105263,-6.980000019,0.05999999866
31,1.7,0.08,-7.920000076,0.02804705882,-7.940000057,0.05999999866
32,16,3.1,-6.579999924,0.115475,-6.590000153,0.05999999866
33,9.8,2.9,-6.880000114,0.1763673469,-7.730000019,0.0700000003
34,9.9,3.2,-6.869999886,0.1926464646,-7.329999924,0.0700000003
35,0.38,0.14,-8.81000042,0.2195789474,-8.010000229,0.05999999866
36,1.1,0.1,-8.180000305,0.05418181818,-8.170000076,0.0700000003
37,0.3,0.15,-8.949999809,0.298,-8.729999542,0.0700000003
38 flip,7.7,2.1,-7.019999981,0.1625454545,-9.06000042,0.0700000003
39,7.6,0.7,-7.03000021,0.05489473684,-8,0.0700000003
40 flip,5.2,0.3,-7.25,0.03438461538,-8.210000038,0.05999999866
41 flip,6.4,0.6,-7.130000114,0.055875,-8.180000305,0.0700000003
42,0.33,0.1,-8.899999619,0.1806060606,-7.630000114,0.0700000003
43 flip,7.5,0.6,-7.03000021,0.04768,-7.739999771,0.05999999866
44,0.48,0.01,-8.670000076,0.01241666667,-8.420000076,0.0700000003
45,0.3,0.1,-8.949999809,0.1986666667,-7.559999943,0.05999999866
46 flip,2.9,0.1,-7.599999905,0.02055172414,-7.989999771,0.05999999866
47 flip,62,17,-5.78000021,0.1634193548,-6.289999962,0.05999999866
48 flip,14,0.3,-6.659999847,0.01277142857,-4.630000114,0.05999999866
49,0.81,0.16,-8.359999657,0.1177283951,-8.729999542,0.05999999866
50,0.16,0.04,-9.329999924,0.149,-8.75,0.05999999866
51,0.7,0.24,-8.449999809,0.2043428571,-7.150000095,0.05999999866
52,0.19,0.02,-9.229999542,0.06273684211,-9.720000267,0.05999999866
53,0.055,0.018,-9.960000038,0.1950545455,-10.09000015,0.0700000003
54,0.075,0.025,-9.779999733,0.1986666667,-9.050000191,0.05999999866
56,0.18,0.01,-9.260000229,0.03311111111,-9.050000191,0.0700000003
57,0.26,0.04,-9.039999962,0.09169230769,-7.840000153,0.05999999866
58,0.14,0.01,-9.409999847,0.04257142857,-10.36999989,0.0700000003
60,0.32,0.01,-8.920000076,0.018625,-8.779999733,0.0700000003
61,1.3,0.52,-8.079999924,0.2384,-8.319999695,0.0700000003
62,1.6,0.41,-7.960000038,0.152725,-8.069999695,0.0700000003
63,0.25,0.04,-9.06000042,0.09536,-9.829999924,0.05999999866
64,0.12,0.03,-9.5,0.149,-8.970000267,0.05999999866
65,0.74,0.24,-8.409999847,0.1932972973,-9.630000114,0.0700000003
66,0.72,0.15,-8.430000305,0.1241666667,-8.670000076,0.0700000003
67,3,0.1,-7.579999924,0.01986666667,-9.220000267,0.05999999866
68,2.5,1.1,-7.690000057,0.26224,-7.159999847,0.05999999866